code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
470009,汇添富民营活力混合A,0.15%,100元起购,5.51%,1.01%,18.34%,25.45%,38.02%,346.58%,混合型,40.95亿元（2019-12-31）,2010-05-05,汇添富基金
460108,华泰柏瑞稳健收益债券C,0.00%,100元起购,1.23%,2.42%,3.46%,6.18%,17.76%,46.61%,债券型,0.73亿元（2019-12-31）,2012-12-04,华泰柏瑞基金
470021,汇添富优选回报灵活配置混合A,0.15%,100元起购,6.40%,-1.48%,4.91%,-1.24%,19.82%,19.70%,混合型,2.07亿元（2019-12-31）,2013-01-24,汇添富基金
460106,华泰柏瑞货币B,0.00%,5000000元起购,0.19%,0.65%,1.31%,2.60%,10.01%,40.23%,货币型,6.35亿元（2019-12-31）,2009-05-06,华泰柏瑞基金
460010,华泰柏瑞亚洲领导企业混合,0.16%,100元起购,11.15%,-5.15%,8.44%,4.05%,14.81%,-2.30%,QDII,0.10亿元（2019-12-31）,2010-12-02,华泰柏瑞基金
460007,华泰柏瑞行业领先混合,0.15%,100元起购,7.53%,14.89%,24.11%,35.61%,85.82%,139.90%,混合型,3.30亿元（2019-12-31）,2009-08-03,华泰柏瑞基金
460006,华泰柏瑞货币A,0.00%,100元起购,0.17%,0.59%,1.19%,2.35%,9.23%,36.58%,货币型,42.49亿元（2019-12-31）,2009-05-06,华泰柏瑞基金
460005,华泰柏瑞价值增长混合,0.15%,100元起购,7.20%,7.14%,30.69%,58.67%,71.85%,593.83%,混合型,11.00亿元（2019-12-31）,2008-07-16,华泰柏瑞基金
460003,华泰柏瑞稳本增利债券B,0.00%,100元起购,1.21%,2.61%,3.68%,6.92%,16.22%,57.59%,债券型,0.11亿元（2019-12-31）,2007-12-03,华泰柏瑞基金
460008,华泰柏瑞稳健收益债券A,0.08%,100元起购,1.27%,2.53%,3.68%,6.64%,19.31%,50.69%,债券型,6.81亿元（2019-12-31）,2012-12-04,华泰柏瑞基金
460009,华泰柏瑞量化先行混合,0.15%,100元起购,5.14%,-2.29%,6.79%,1.63%,11.56%,105.15%,混合型,18.71亿元（2019-12-31）,2010-06-22,华泰柏瑞基金
460002,华泰柏瑞积极成长混合A,0.15%,100元起购,5.97%,1.94%,5.25%,4.73%,7.29%,73.53%,混合型,8.37亿元（2019-12-31）,2007-05-29,华泰柏瑞基金
460001,华泰柏瑞盛世中国混合,0.15%,100元起购,7.35%,4.87%,12.62%,20.97%,43.41%,554.30%,混合型,13.90亿元（2019-12-31）,2005-04-27,华泰柏瑞基金
457001,国富亚洲机会股票(QDII),0.15%,100元起购,13.87%,-3.02%,12.16%,10.51%,34.22%,22.00%,QDII,3.98亿元（2019-12-31）,2012-02-22,国海富兰克林基金
450018,国富恒久信用债券A,0.08%,100元起购,1.21%,1.57%,2.66%,4.60%,15.38%,48.04%,债券型,0.14亿元（2019-12-31）,2012-09-11,国海富兰克林基金
450008,国富沪深300指数增强,0.12%,100元起购,4.96%,-4.66%,1.34%,5.60%,15.84%,59.51%,股票指数,2.44亿元（2019-12-31）,2009-09-03,国海富兰克林基金
450007,国富成长动力混合,0.15%,100元起购,6.18%,-4.76%,6.96%,13.02%,18.41%,83.78%,混合型,0.85亿元（2019-12-31）,2009-03-25,国海富兰克林基金
450006,国富强化收益债券C,0.00%,100元起购,1.65%,1.28%,3.70%,3.67%,16.16%,85.81%,债券型,0.76亿元（2019-12-31）,2008-12-18,国海富兰克林基金
450019,国富恒久信用债券C,0.00%,100元起购,1.18%,1.50%,2.50%,4.24%,14.24%,45.08%,债券型,0.02亿元（2019-12-31）,2012-09-11,国海富兰克林基金
450009,国富中小盘股票,0.15%,100元起购,6.48%,-5.05%,1.80%,7.30%,38.97%,185.34%,股票型,30.79亿元（2019-12-31）,2010-11-23,国海富兰克林基金
450011,国富研究精选混合,0.15%,100元起购,10.64%,0.21%,9.55%,19.52%,57.27%,89.20%,混合型,0.58亿元（2019-12-31）,2012-05-22,国海富兰克林基金
450010,国富策略回报混合,0.15%,100元起购,5.33%,0.68%,11.67%,13.64%,18.83%,48.30%,混合型,1.46亿元（2019-12-31）,2011-08-02,国海富兰克林基金
450005,国富强化收益债券A,0.08%,100元起购,1.67%,1.35%,3.86%,3.98%,17.14%,96.72%,债券型,4.79亿元（2019-12-31）,2008-10-24,国海富兰克林基金
450003,国富潜力组合混合A,0.15%,100元起购,10.45%,3.97%,13.67%,21.72%,54.83%,224.17%,混合型,20.60亿元（2019-12-31）,2007-03-22,国海富兰克林基金
420102,天弘永利债券B,0.08%,100元起购,1.64%,3.40%,8.07%,11.35%,19.88%,97.98%,债券型,2.00亿元（2019-12-31）,2008-04-18,天弘基金
420009,天弘安康颐养混合A,0.10%,100元起购,2.16%,2.58%,5.23%,11.60%,20.01%,75.10%,混合型,7.52亿元（2019-12-31）,2012-11-28,天弘基金
420005,天弘周期策略混合,0.15%,100元起购,2.32%,-5.62%,8.04%,14.78%,17.58%,110.08%,混合型,1.25亿元（2019-12-31）,2009-12-17,天弘基金
450004,国富深化价值混合,0.15%,100元起购,7.59%,0.73%,14.42%,27.61%,57.10%,119.20%,混合型,2.32亿元（2019-12-31）,2008-07-03,国海富兰克林基金
420008,天弘债券发起式A,0.08%,100元起购,2.57%,4.90%,6.15%,9.36%,17.80%,36.82%,债券型,2.09亿元（2019-12-31）,2012-08-10,天弘基金
420006,天弘现金管家货币A,0.00%,1000元起购,0.17%,0.52%,1.14%,2.35%,9.50%,28.34%,货币型,1.69亿元（2019-12-31）,2012-06-20,天弘基金
420106,天弘现金管家货币B,0.00%,5000000元起购,0.19%,0.57%,1.26%,2.59%,10.28%,30.77%,货币型,1.01亿元（2019-12-31）,2012-06-20,天弘基金
420003,天弘永定价值成长混合,0.15%,100元起购,6.14%,-0.93%,9.80%,-1.50%,8.53%,183.53%,混合型,7.21亿元（2019-12-31）,2008-12-02,天弘基金
420001,天弘精选混合,0.15%,100元起购,4.27%,-4.12%,3.37%,9.73%,25.74%,162.11%,混合型,12.18亿元（2019-12-31）,2005-10-08,天弘基金
410010,华富中小板指数增强,0.12%,100元起购,3.49%,-3.07%,10.37%,4.35%,-5.56%,24.19%,股票指数,0.26亿元（2019-12-31）,2011-12-09,华富基金
410005,华富收益增强债券B,0.00%,100元起购,1.41%,0.67%,2.59%,3.81%,12.43%,148.63%,债券型,0.66亿元（2019-12-31）,2008-05-28,华富基金
410004,华富收益增强债券A,0.08%,100元起购,1.45%,0.78%,2.81%,4.23%,13.80%,160.98%,债券型,15.15亿元（2019-12-31）,2008-05-28,华富基金
420002,天弘永利债券A,0.00%,100元起购,1.60%,3.30%,7.86%,10.91%,18.44%,88.58%,债券型,1.44亿元（2019-12-31）,2008-04-18,天弘基金
410009,华富量子生命力混合,0.15%,100元起购,6.56%,1.35%,13.11%,15.85%,0.69%,9.05%,混合型,0.58亿元（2019-12-31）,2011-04-01,华富基金
410006,华富策略精选混合,0.15%,100元起购,1.17%,-1.62%,4.87%,8.29%,-1.84%,63.91%,混合型,1.08亿元（2019-12-31）,2008-12-24,华富基金
410008,华富中证100指数,0.12%,100元起购,3.79%,-7.00%,-1.28%,3.37%,46.21%,53.27%,股票指数,2.42亿元（2019-12-31）,2009-12-30,华富基金
410007,华富价值增长混合,0.15%,100元起购,4.87%,16.44%,31.79%,47.50%,68.03%,207.66%,混合型,0.73亿元（2019-12-31）,2009-07-15,华富基金
410003,华富成长趋势混合,0.15%,100元起购,4.60%,15.71%,33.18%,46.22%,58.74%,87.48%,混合型,5.72亿元（2019-12-31）,2007-03-19,华富基金
400016,东方强化收益债券,0.08%,100元起购,2.09%,0.71%,2.32%,3.91%,15.52%,50.19%,债券型,2.86亿元（2019-12-31）,2012-10-09,东方基金
410001,华富竞争力优选混合,0.15%,100元起购,3.81%,-1.89%,6.00%,5.92%,26.98%,315.60%,混合型,5.66亿元（2019-12-31）,2005-03-02,华富基金
400030,东方添益债券,0.08%,100元起购,1.59%,3.55%,5.21%,8.83%,14.91%,34.12%,债券型,11.83亿元（2019-12-31）,2014-12-15,东方基金
400020,东方成长回报平衡混合,0.12%,100元起购,2.65%,-1.74%,-0.22%,1.47%,6.17%,40.12%,混合型,1.44亿元（2019-12-31）,2013-07-03,东方基金
400027,东方双债添利债券A,0.08%,100元起购,1.99%,0.83%,4.30%,5.69%,10.32%,61.90%,债券型,3.91亿元（2019-12-31）,2014-09-24,东方基金
410002,华富货币A,0.00%,100元起购,0.15%,0.50%,1.08%,2.16%,9.15%,55.62%,货币型,0.87亿元（2019-12-31）,2006-06-21,华富基金
400029,东方双债添利债券C,0.00%,100元起购,1.96%,0.73%,4.11%,5.35%,9.16%,58.63%,债券型,0.23亿元（2019-12-31）,2014-09-24,东方基金
400032,东方主题精选混合,0.15%,100元起购,1.37%,0.78%,17.62%,22.74%,-1.39%,-24.70%,混合型,1.16亿元（2019-12-31）,2015-03-23,东方基金
400003,东方精选混合,0.15%,100元起购,6.66%,-3.38%,-0.45%,1.66%,-16.30%,517.71%,混合型,15.72亿元（2019-12-31）,2006-01-11,东方基金
400005,东方金账簿货币A,0.00%,100元起购,0.17%,0.56%,1.19%,2.33%,9.53%,54.98%,货币型,1.63亿元（2019-12-31）,2006-08-02,东方基金
400006,东方金账簿货币B,0.00%,5000000元起购,0.19%,0.62%,1.31%,2.58%,10.32%,20.39%,货币型,48.87亿元（2019-12-31）,2014-10-22,东方基金
400015,东方新能源汽车混合,0.15%,100元起购,2.28%,-7.03%,24.64%,5.99%,-10.26%,74.12%,混合型,0.88亿元（2019-12-31）,2011-12-28,东方基金
400007,东方策略成长混合,0.15%,100元起购,8.33%,-2.21%,7.75%,10.95%,17.00%,200.29%,混合型,3.54亿元（2019-12-31）,2008-06-03,东方基金
400013,东方成长收益灵活配置混合A,0.06%,100元起购,2.25%,0.79%,4.47%,3.79%,8.73%,48.94%,混合型,2.15亿元（2019-12-31）,2011-04-14,东方基金
400011,东方核心动力混合,0.15%,100元起购,6.09%,-1.39%,4.84%,2.77%,-3.65%,51.73%,混合型,2.76亿元（2019-12-31）,2009-06-24,东方基金
400009,东方稳健回报债券,0.08%,100元起购,0.49%,0.99%,2.86%,-0.16%,11.19%,41.69%,债券型,0.17亿元（2019-12-31）,2008-12-10,东方基金
399011,中海医疗保健主题股票,0.15%,100元起购,6.32%,1.36%,5.94%,24.70%,91.68%,236.65%,股票型,19.01亿元（2019-12-31）,2012-03-07,中海基金
398031,中海蓝筹混合,0.15%,100元起购,3.81%,-0.21%,8.95%,18.52%,37.21%,163.91%,混合型,0.84亿元（2019-12-31）,2008-12-03,中海基金
398021,中海能源策略混合,0.15%,100元起购,-2.23%,-12.92%,-5.34%,-27.10%,-7.51%,-8.38%,混合型,12.47亿元（2019-12-31）,2007-03-13,中海基金
398041,中海量化策略混合,0.15%,100元起购,-0.30%,11.47%,29.98%,43.12%,40.11%,100.08%,混合型,3.11亿元（2019-12-31）,2009-06-24,中海基金
399001,中海上证50指数增强,0.12%,100元起购,0.98%,-7.91%,-1.98%,0.59%,39.79%,38.81%,股票指数,3.38亿元（2019-12-31）,2010-03-25,中海基金
400001,东方龙混合,0.15%,100元起购,6.38%,-2.59%,3.11%,8.74%,-0.27%,414.72%,混合型,4.15亿元（2019-12-31）,2004-11-25,东方基金
398061,中海消费混合,0.15%,100元起购,0.80%,-7.15%,2.36%,4.16%,36.93%,247.23%,混合型,4.11亿元（2019-12-31）,2011-11-09,中海基金
398051,中海环保新能源混合,0.15%,100元起购,1.74%,-4.54%,20.80%,8.24%,19.98%,5.10%,混合型,0.64亿元（2019-12-31）,2010-12-09,中海基金
393001,中海优势精选灵活配置混合,0.15%,1000元起购,3.56%,-5.07%,-1.08%,-4.75%,-5.72%,17.58%,混合型,0.89亿元（2019-12-31）,2012-06-20,中海基金
392002,中海货币B,0.00%,5000000元起购,0.16%,0.54%,1.15%,2.40%,10.36%,42.01%,货币型,11.50亿元（2019-12-31）,2010-07-28,中海基金
398001,中海优质成长混合,0.12%,100元起购,5.30%,7.84%,29.61%,51.74%,61.65%,686.95%,混合型,15.73亿元（2019-12-31）,2004-09-28,中海基金
395011,中海增强收益债券A,0.08%,1000元起购,1.64%,2.39%,4.72%,7.25%,12.59%,45.55%,债券型,1.04亿元（2019-12-31）,2011-03-23,中海基金
395001,中海稳健收益债券,0.00%,100元起购,1.15%,1.78%,3.15%,5.33%,14.26%,94.97%,债券型,1.89亿元（2019-12-31）,2008-04-10,中海基金
395012,中海增强收益债券C,0.00%,1000元起购,1.58%,2.26%,4.45%,6.74%,10.71%,39.50%,债券型,0.55亿元（2019-12-31）,2011-03-23,中海基金
398011,中海分红增利混合,0.15%,100元起购,1.02%,-6.09%,5.38%,23.34%,57.55%,264.08%,混合型,5.72亿元（2019-12-31）,2005-06-16,中海基金
392001,中海货币A,0.00%,100元起购,0.14%,0.48%,1.03%,2.15%,9.57%,38.73%,货币型,2.88亿元（2019-12-31）,2010-07-28,中海基金
380009,中银添利债券发起A,0.08%,100元起购,1.26%,1.56%,3.57%,6.82%,20.34%,70.52%,债券型,20.71亿元（2019-12-31）,2013-02-04,中银基金
380006,中银纯债债券C,0.00%,100元起购,1.31%,2.46%,3.33%,5.98%,15.70%,40.05%,债券型,3.37亿元（2019-12-31）,2012-12-12,中银基金
379010,上投摩根中小盘混合,0.15%,100元起购,4.54%,0.08%,24.36%,33.72%,46.18%,176.38%,混合型,5.94亿元（2019-12-31）,2009-01-21,上投摩根基金
378546,上投摩根全球天然资源混合,0.16%,100元起购,11.46%,-26.51%,-22.24%,-26.71%,-19.91%,-46.50%,QDII,0.86亿元（2019-12-31）,2012-03-26,上投摩根基金
378010,上投摩根成长先锋混合,0.15%,100元起购,5.72%,0.38%,11.94%,16.18%,53.10%,165.10%,混合型,18.03亿元（2019-12-31）,2006-09-20,上投摩根基金
378006,上投摩根全球新兴市场混合,0.16%,100元起购,9.75%,-16.76%,-9.41%,-8.16%,5.18%,-6.60%,QDII,0.63亿元（2019-12-31）,2011-01-30,上投摩根基金
380010,中银理财30天债券A,0.00%,1000元起购,0.19%,0.61%,1.28%,2.63%,10.93%,29.34%,理财型,0.63亿元（2019-12-31）,2013-01-31,中银基金
380011,中银理财30天债券B,0.00%,5000000元起购,0.21%,0.69%,1.43%,2.93%,11.90%,32.08%,理财型,228.45亿元（2019-12-31）,2013-01-31,中银基金
380007,中银理财7天债券A,0.00%,1000元起购,0.15%,0.55%,1.25%,2.58%,10.61%,30.99%,理财型,0.60亿元（2020-03-31）,2012-12-24,中银基金
380008,中银理财7天债券B,0.00%,5000000元起购,0.18%,0.62%,1.40%,2.88%,11.58%,33.80%,理财型,129.80亿元（2020-03-31）,2012-12-24,中银基金
380005,中银纯债债券A,0.08%,100元起购,1.22%,2.46%,3.42%,6.18%,16.79%,43.70%,债券型,67.95亿元（2019-12-31）,2012-12-12,中银基金
377530,上投摩根行业轮动混合A,0.15%,100元起购,7.26%,3.98%,22.60%,37.71%,47.60%,165.83%,混合型,6.44亿元（2019-12-31）,2010-01-28,上投摩根基金
377240,上投摩根新兴动力混合A,0.15%,100元起购,6.99%,6.36%,34.66%,36.76%,65.93%,276.50%,混合型,30.41亿元（2019-12-31）,2011-07-13,上投摩根基金
377020,上投摩根内需动力混合,0.15%,100元起购,5.23%,-0.38%,13.78%,26.34%,23.74%,93.12%,混合型,26.58亿元（2019-12-31）,2007-04-13,上投摩根基金
377016,上投摩根亚太优势混合,0.18%,100元起购,7.42%,-15.37%,-7.05%,-5.99%,9.99%,-26.20%,QDII,45.97亿元（2019-12-31）,2007-10-22,上投摩根基金
373020,上投摩根双核平衡混合,0.15%,100元起购,3.70%,0.44%,14.25%,35.78%,38.71%,235.67%,混合型,3.87亿元（2019-12-31）,2008-05-21,上投摩根基金
370023,上投摩根中证消费服务指数,0.12%,100元起购,6.95%,-1.57%,1.99%,3.74%,29.26%,98.01%,股票指数,0.32亿元（2019-12-31）,2012-09-25,上投摩根基金
370022,上投摩根分红添利债券B,0.00%,100元起购,0.18%,0.73%,1.93%,3.25%,7.69%,45.24%,债券型,0.05亿元（2019-12-31）,2012-06-25,上投摩根基金
370021,上投摩根分红添利债券A,0.08%,1000元起购,0.36%,0.91%,2.20%,3.80%,9.16%,50.22%,债券型,0.60亿元（2019-12-31）,2012-06-25,上投摩根基金
377010,上投摩根阿尔法混合,0.15%,100元起购,4.14%,-3.42%,14.38%,17.56%,0.77%,470.27%,混合型,15.76亿元（2019-12-31）,2005-10-11,上投摩根基金
375010,上投摩根中国优势混合,0.15%,100元起购,8.05%,1.26%,22.03%,25.37%,27.76%,556.13%,混合型,13.75亿元（2019-12-31）,2004-09-15,上投摩根基金
376510,上投摩根大盘蓝筹股票,0.15%,100元起购,4.66%,-0.80%,7.80%,18.74%,34.49%,97.70%,股票型,3.19亿元（2019-12-31）,2010-12-20,上投摩根基金
377150,上投摩根健康品质生活混合,0.15%,100元起购,9.11%,5.29%,11.12%,19.23%,28.79%,164.80%,混合型,0.98亿元（2019-12-31）,2012-02-01,上投摩根基金
360016,光大行业轮动混合,0.15%,100元起购,4.08%,0.85%,20.73%,35.55%,53.92%,204.46%,混合型,6.27亿元（2019-12-31）,2012-02-15,光大保德信基金
360014,光大信用添益债券C,0.00%,100元起购,3.60%,5.92%,12.64%,17.08%,22.73%,67.54%,债券型,0.10亿元（2019-12-31）,2011-05-16,光大保德信基金
360013,光大信用添益债券A,0.08%,100元起购,3.68%,6.10%,12.92%,17.47%,24.18%,72.54%,债券型,0.09亿元（2019-12-31）,2011-05-16,光大保德信基金
370010,上投摩根货币A,0.00%,100元起购,0.14%,0.49%,1.04%,2.11%,8.60%,43.33%,货币型,0.71亿元（2019-12-31）,2005-04-13,上投摩根基金
360019,光大添天盈五年定开债,0.00%,100元起购,0.33%,--,--,--,--,0.37%,定开债券,0.86亿元（2019-12-31）,2012-10-25,光大保德信基金
360012,光大中小盘混合,0.15%,100元起购,2.11%,4.61%,19.67%,16.85%,18.53%,115.81%,混合型,2.09亿元（2019-12-31）,2010-04-14,光大保德信基金
370011,上投摩根货币B,暂停申购,暂停申购,0.16%,0.55%,1.16%,2.35%,9.38%,48.54%,货币型,778.02亿元（2019-12-31）,2005-04-13,上投摩根基金
360011,光大动态优选混合,0.15%,100元起购,3.03%,7.39%,17.48%,14.06%,18.32%,175.77%,混合型,2.07亿元（2019-12-31）,2009-10-28,光大保德信基金
360010,光大均衡精选混合,0.15%,100元起购,3.25%,-5.12%,6.29%,7.02%,15.99%,112.62%,混合型,1.29亿元（2019-12-31）,2009-03-04,光大保德信基金
360009,光大增利收益债券C,0.00%,100元起购,1.21%,4.59%,8.20%,10.78%,17.23%,60.29%,债券型,0.10亿元（2019-12-31）,2008-10-29,光大保德信基金
360007,光大优势配置混合,0.15%,100元起购,3.13%,-6.75%,9.76%,-10.28%,2.72%,37.18%,混合型,20.31亿元（2019-12-31）,2007-08-24,光大保德信基金
360006,光大新增长混合,0.15%,100元起购,2.39%,-0.30%,17.23%,23.64%,49.01%,430.55%,混合型,7.63亿元（2019-12-31）,2006-09-14,光大保德信基金
360005,光大红利混合,0.15%,100元起购,6.69%,-0.11%,9.79%,8.03%,-0.88%,441.79%,混合型,6.33亿元（2019-12-31）,2006-03-24,光大保德信基金
350004,天治天得利货币A,0.00%,100元起购,0.14%,0.51%,1.06%,2.13%,9.13%,51.96%,货币型,0.54亿元（2019-12-31）,2006-07-05,天治基金
360001,光大量化股票,0.15%,100元起购,6.12%,-2.48%,3.70%,4.85%,-4.58%,352.25%,股票型,34.29亿元（2019-12-31）,2004-08-27,光大保德信基金
350009,天治研究驱动混合A,0.10%,100元起购,6.49%,0.26%,9.13%,16.64%,35.14%,80.60%,混合型,0.73亿元（2019-12-31）,2011-12-28,天治基金
350008,天治新消费混合,0.15%,1000元起购,1.44%,-3.06%,6.45%,9.63%,7.51%,61.70%,混合型,0.17亿元（2019-12-31）,2011-08-04,天治基金
350007,天治趋势精选混合,0.15%,1000元起购,10.83%,3.23%,15.86%,19.79%,15.33%,2.30%,混合型,0.98亿元（2019-12-31）,2009-07-15,天治基金
350006,天治稳健双盈债券,0.00%,100元起购,0.81%,-0.36%,-0.01%,1.35%,8.67%,99.10%,债券型,4.56亿元（2019-12-31）,2008-11-05,天治基金
350005,天治中国制造2025,0.15%,1000元起购,5.04%,-0.06%,12.89%,10.41%,52.62%,145.90%,混合型,0.33亿元（2019-12-31）,2008-05-08,天治基金
360003,光大保德信货币A,0.00%,100元起购,0.23%,0.58%,1.09%,2.11%,8.87%,53.16%,货币型,25.74亿元（2019-12-31）,2005-06-09,光大保德信基金
350002,天治低碳经济混合,0.15%,1000元起购,3.22%,-7.25%,-2.30%,5.42%,-4.69%,151.65%,混合型,1.16亿元（2019-12-31）,2005-01-12,天治基金
350001,天治财富增长混合,0.12%,1000元起购,-3.81%,-13.21%,-4.58%,-0.53%,36.10%,429.57%,混合型,1.09亿元（2019-12-31）,2004-06-29,天治基金
340009,兴全磐稳增利债券A,0.08%,100元起购,0.59%,1.71%,5.30%,6.38%,16.30%,92.93%,债券型,22.43亿元（2019-12-31）,2009-07-23,兴证全球基金
340008,兴全有机增长混合,0.15%,100元起购,4.77%,0.07%,9.80%,15.61%,35.24%,295.98%,混合型,34.15亿元（2019-12-31）,2009-03-25,兴证全球基金
340007,兴全社会责任混合,0.15%,100元起购,6.43%,-1.80%,7.01%,14.96%,37.17%,326.11%,混合型,60.96亿元（2019-12-31）,2008-04-30,兴证全球基金
340006,兴全全球视野股票,0.15%,100元起购,2.06%,-0.25%,13.11%,26.21%,30.61%,700.22%,股票型,16.98亿元（2019-12-31）,2006-09-20,兴证全球基金
340005,兴全货币A,0.00%,100元起购,0.19%,0.62%,1.30%,2.63%,10.89%,55.11%,货币型,36.68亿元（2019-12-31）,2006-04-27,兴证全球基金
340001,兴全可转债混合,0.10%,100元起购,2.00%,-0.78%,5.99%,8.10%,29.61%,809.96%,混合型,50.28亿元（2019-12-31）,2004-05-11,兴证全球基金
320022,诺安研究精选股票,0.15%,100元起购,4.55%,1.74%,18.89%,24.34%,57.86%,163.56%,股票型,5.14亿元（2019-12-31）,2012-12-10,诺安基金
320021,诺安双利债券发起,0.08%,100元起购,0.38%,-0.84%,5.01%,5.17%,49.75%,111.60%,债券型,7.09亿元（2019-12-31）,2012-11-29,诺安基金
320020,诺安策略精选股票,0.15%,100元起购,3.58%,-5.11%,-0.28%,-0.67%,25.87%,82.55%,股票型,1.27亿元（2019-12-31）,2012-05-28,诺安基金
320019,诺安货币B,0.00%,5000000元起购,0.13%,0.51%,1.11%,2.35%,9.82%,32.54%,货币型,2.05亿元（2019-12-31）,2012-02-21,诺安基金
320018,诺安新动力混合,0.15%,100元起购,1.80%,-0.74%,10.02%,10.02%,42.71%,140.05%,混合型,0.49亿元（2019-12-31）,2012-03-05,诺安基金
320017,诺安全球收益不动产,0.15%,100元起购,11.86%,-16.57%,-19.61%,-9.77%,-12.80%,34.90%,QDII,0.47亿元（2019-12-31）,2011-09-23,诺安基金
320016,诺安多策略混合,0.15%,100元起购,3.37%,-6.45%,1.56%,-7.73%,0.81%,62.40%,混合型,0.86亿元（2019-12-31）,2011-08-09,诺安基金
320015,诺安行业轮动混合,0.12%,100元起购,3.15%,-4.63%,7.80%,9.55%,26.70%,93.42%,混合型,2.33亿元（2019-12-31）,2011-05-13,诺安基金
320007,诺安成长混合,0.15%,100元起购,-0.80%,-0.51%,32.62%,47.84%,29.48%,104.08%,混合型,66.97亿元（2019-12-31）,2009-03-10,诺安基金
320013,诺安全球黄金,0.08%,100元起购,14.01%,13.06%,14.01%,38.01%,29.58%,17.09%,QDII,4.77亿元（2019-12-31）,2011-01-13,诺安基金
320009,诺安增利债券B,0.00%,100元起购,1.57%,1.28%,10.51%,6.13%,6.69%,60.98%,债券型,0.07亿元（2019-12-31）,2009-09-01,诺安基金
320014,诺安沪深300指数增强,0.12%,100元起购,3.08%,-5.43%,-0.03%,0.04%,4.24%,17.27%,股票指数,2.66亿元（2019-12-31）,2011-04-07,诺安基金
320010,诺安中证100指数,0.12%,100元起购,3.54%,-6.38%,-1.25%,2.98%,44.86%,51.38%,股票指数,3.28亿元（2019-12-31）,2009-10-27,诺安基金
320012,诺安主题精选混合,0.15%,100元起购,7.68%,10.28%,19.06%,38.34%,67.94%,195.31%,混合型,2.45亿元（2019-12-31）,2010-09-15,诺安基金
320011,诺安中小盘精选混合,0.15%,100元起购,2.63%,-6.40%,2.84%,0.00%,11.77%,212.60%,混合型,7.41亿元（2019-12-31）,2010-04-28,诺安基金
320008,诺安增利债券A,0.08%,100元起购,1.62%,1.41%,10.72%,6.72%,8.26%,70.47%,债券型,0.20亿元（2019-12-31）,2009-05-27,诺安基金
320004,诺安优化收益债券,0.00%,100元起购,1.23%,3.40%,9.31%,9.59%,27.15%,141.12%,债券型,4.92亿元（2019-12-31）,2006-07-17,诺安基金
320006,诺安灵活配置混合,0.18%,100元起购,1.59%,-1.33%,10.52%,7.22%,-1.16%,284.62%,混合型,12.95亿元（2019-12-31）,2008-05-20,诺安基金
310508,申万菱信稳益宝债券,0.08%,100元起购,3.12%,3.12%,4.09%,7.55%,14.30%,76.10%,债券型,4.91亿元（2019-12-31）,2011-02-11,申万菱信基金
310518,申万菱信可转债债券,0.08%,100元起购,5.70%,3.58%,8.76%,11.83%,15.97%,72.45%,债券型,0.88亿元（2019-12-31）,2011-12-09,申万菱信基金
320002,诺安货币A,0.00%,100元起购,0.11%,0.45%,0.99%,2.10%,9.03%,55.38%,货币型,1.31亿元（2019-12-31）,2004-12-06,诺安基金
320003,诺安先锋混合,0.15%,100元起购,8.41%,4.18%,14.80%,7.37%,17.01%,485.31%,混合型,31.01亿元（2019-12-31）,2005-12-19,诺安基金
320001,诺安平衡混合,0.15%,100元起购,1.54%,-6.64%,1.45%,-1.64%,19.09%,371.07%,混合型,15.02亿元（2019-12-31）,2004-05-21,诺安基金
320005,诺安价值增长混合,0.15%,100元起购,7.14%,-1.78%,6.17%,0.36%,7.07%,147.25%,混合型,16.48亿元（2019-12-31）,2006-11-21,诺安基金
310398,申万菱信沪深300价值指数A,0.12%,10元起购,0.29%,-10.76%,-9.89%,-11.48%,19.82%,55.90%,股票指数,14.58亿元（2019-12-31）,2010-02-11,申万菱信基金
310388,申万菱信消费增长混合,0.15%,100元起购,10.65%,5.89%,19.95%,29.76%,74.99%,154.18%,混合型,2.31亿元（2019-12-31）,2009-06-12,申万菱信基金
310368,申万菱信竞争优势混合,0.15%,100元起购,3.97%,-3.37%,0.06%,6.42%,14.37%,155.18%,混合型,1.63亿元（2019-12-31）,2008-07-04,申万菱信基金
310358,申万菱信新经济混合,0.15%,100元起购,3.84%,-4.03%,10.26%,6.15%,9.38%,142.06%,混合型,8.79亿元（2019-12-31）,2006-12-06,申万菱信基金
310339,申万菱信收益宝货币B,0.00%,5000000元起购,0.16%,0.55%,1.15%,2.31%,9.55%,27.45%,货币型,120.76亿元（2019-12-31）,2013-01-21,申万菱信基金
310338,申万菱信收益宝货币A,0.00%,100元起购,0.14%,0.49%,1.02%,2.06%,8.76%,45.55%,货币型,1.74亿元（2019-12-31）,2006-07-07,申万菱信基金
310328,申万菱信新动力混合,0.15%,100元起购,11.23%,1.39%,10.50%,19.98%,28.28%,386.32%,混合型,9.27亿元（2019-12-31）,2005-11-10,申万菱信基金
310318,申万菱信沪深300指数增强A,0.12%,100元起购,4.22%,-3.24%,2.80%,4.16%,19.78%,396.07%,股票指数,5.13亿元（2019-12-31）,2004-11-29,申万菱信基金
290004,泰信优质生活混合,0.15%,1000元起购,4.81%,-0.01%,10.39%,17.44%,-17.39%,46.41%,混合型,3.96亿元（2019-12-31）,2006-12-15,泰信基金
